County,Pop,countyFIPS,,,
".Adair County, Missouri","25,343",29001,,,
".Andrew County, Missouri","17,712",29003,,,
".Atchison County, Missouri","5,143",29005,,,
".Audrain County, Missouri","25,388",29007,,,
".Barry County, Missouri","35,789",29009,,,
".Barton County, Missouri","11,754",29011,,,
".Bates County, Missouri","16,172",29013,,,
".Benton County, Missouri","19,443",29015,,,
".Bollinger County, Missouri","12,133",29017,,,
".Boone County, Missouri","180,463",29019,,,
".Buchanan County, Missouri","87,364",29021,,,
".Butler County, Missouri","42,478",29023,,,
".Caldwell County, Missouri","9,020",29025,,,
".Callaway County, Missouri","44,743",29027,,,
".Camden County, Missouri","46,305",29029,,,
".Cape Girardeau County, Missouri","78,871",29031,,,
".Carroll County, Missouri","8,679",29033,,,
".Carter County, Missouri","5,982",29035,,,
".Cass County, Missouri","105,780",29037,,,
".Cedar County, Missouri","14,349",29039,,,
".Chariton County, Missouri","7,426",29041,,,
".Christian County, Missouri","88,595",29043,,,
".Clark County, Missouri","6,797",29045,,,
".Clay County, Missouri","249,948",29047,,,
".Clinton County, Missouri","20,387",29049,,,
".Cole County, Missouri","76,745",29051,,,
".Cooper County, Missouri","17,709",29053,,,
".Crawford County, Missouri","23,920",29055,,,
".Dade County, Missouri","7,561",29057,,,
".Dallas County, Missouri","16,878",29059,,,
".Daviess County, Missouri","8,278",29061,,,
".DeKalb County, Missouri","12,547",29063,,,
".Dent County, Missouri","15,573",29065,,,
".Douglas County, Missouri","13,185",29067,,,
".Dunklin County, Missouri","29,131",29069,,,
".Franklin County, Missouri","103,967",29071,,,
".Gasconade County, Missouri","14,706",29073,,,
".Gentry County, Missouri","6,571",29075,,,
".Greene County, Missouri","293,086",29077,,,
".Grundy County, Missouri","9,850",29079,,,
".Harrison County, Missouri","8,352",29081,,,
".Henry County, Missouri","21,824",29083,,,
".Hickory County, Missouri","9,544",29085,,,
".Holt County, Missouri","4,403",29087,,,
".Howard County, Missouri","10,001",29089,,,
".Howell County, Missouri","40,117",29091,,,
".Iron County, Missouri","10,125",29093,,,
".Jackson County, Missouri","703,011",29095,,,
".Jasper County, Missouri","121,328",29097,,,
".Jefferson County, Missouri","225,081",29099,,,
".Johnson County, Missouri","54,062",29101,,,
".Knox County, Missouri","3,959",29103,,,
".Laclede County, Missouri","35,723",29105,,,
".Lafayette County, Missouri","32,708",29107,,,
".Lawrence County, Missouri","38,355",29109,,,
".Lewis County, Missouri","9,776",29111,,,
".Lincoln County, Missouri","59,013",29113,,,
".Linn County, Missouri","11,920",29115,,,
".Livingston County, Missouri","15,227",29117,,,
".McDonald County, Missouri","22,837",29119,,,
".Macon County, Missouri","15,117",29121,,,
".Madison County, Missouri","12,088",29123,,,
".Maries County, Missouri","8,697",29125,,,
".Marion County, Missouri","28,530",29127,,,
".Mercer County, Missouri","3,617",29129,,,
".Miller County, Missouri","25,619",29131,,,
".Mississippi County, Missouri","13,180",29133,,,
".Moniteau County, Missouri","16,132",29135,,,
".Monroe County, Missouri","8,644",29137,,,
".Montgomery County, Missouri","11,551",29139,,,
".Morgan County, Missouri","20,627",29141,,,
".New Madrid County, Missouri","17,076",29143,,,
".Newton County, Missouri","58,236",29145,,,
".Nodaway County, Missouri","22,092",29147,,,
".Oregon County, Missouri","10,529",29149,,,
".Osage County, Missouri","13,615",29151,,,
".Ozark County, Missouri","9,174",29153,,,
".Pemiscot County, Missouri","15,805",29155,,,
".Perry County, Missouri","19,136",29157,,,
".Pettis County, Missouri","42,339",29159,,,
".Phelps County, Missouri","44,573",29161,,,
".Pike County, Missouri","18,302",29163,,,
".Platte County, Missouri","104,418",29165,,,
".Polk County, Missouri","32,149",29167,,,
".Pulaski County, Missouri","52,607",29169,,,
".Putnam County, Missouri","4,696",29171,,,
".Ralls County, Missouri","10,309",29173,,,
".Randolph County, Missouri","24,748",29175,,,
".Ray County, Missouri","23,018",29177,,,
".Reynolds County, Missouri","6,270",29179,,,
".Ripley County, Missouri","13,288",29181,,,
".St. Charles County, Missouri","402,022",29183,,,
".St. Clair County, Missouri","9,397",29185,,,
".Ste. Genevieve County, Missouri","17,894",29186,,,
".St. Francois County, Missouri","67,215",29187,,,
".St. Louis County, Missouri","994,205",29189,,,
".Saline County, Missouri","22,761",29195,,,
".Schuyler County, Missouri","4,660",29197,,,
".Scotland County, Missouri","4,902",29199,,,
".Scott County, Missouri","38,280",29201,,,
".Shannon County, Missouri","8,166",29203,,,
".Shelby County, Missouri","5,930",29205,,,
".Stoddard County, Missouri","29,025",29207,,,
".Stone County, Missouri","31,952",29209,,,
".Sullivan County, Missouri","6,089",29211,,,
".Taney County, Missouri","55,928",29213,,,
".Texas County, Missouri","25,398",29215,,,
".Vernon County, Missouri","20,563",29217,,,
".Warren County, Missouri","35,649",29219,,,
".Washington County, Missouri","24,730",29221,,,
".Wayne County, Missouri","12,873",29223,,,
".Webster County, Missouri","39,592",29225,,,
".Worth County, Missouri","2,013",29227,,,
".Wright County, Missouri","18,289",29229,,,
".St. Louis city, Missouri","300,576",29510,,,
